id,Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,CalculatedPrice
1234,HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,1000.0,0,Intel,Windows,10.279308174605095
691,Lenovo,Notebook,4,1.7,0,0,157.3505121487356,Intel Core i5,0.0,256,Intel,Windows,10.61861317438845
894,MSI,Gaming,16,2.43,0,1,254.67134914246225,Intel Core i7,2000.0,512,Nvidia,Windows,11.491884617619853
766,Asus,Notebook,4,2.8,0,0,90.58340172449304,Other Intel Processor,1000.0,0,Nvidia,Windows,9.946108822302328
739,Acer,Notebook,4,2.4,0,0,100.45466986113652,Intel Core i3,500.0,0,Intel,Windows,10.09684426373276
342,HP,Notebook,8,2.1,0,1,141.21199808219862,Intel Core i3,1000.0,0,Nvidia,Windows,10.579739836891884
236,Acer,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,1000.0,0,Intel,Others,9.778136275941545
460,Acer,Notebook,4,2.23,0,0,141.21199808219862,Intel Core i3,1000.0,0,Nvidia,Windows,10.056536197802698
401,Asus,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1000.0,256,Nvidia,Windows,11.387327397460366
981,Toshiba,Notebook,4,1.2,0,0,165.6321180513006,Intel Core i5,0.0,128,Intel,Windows,10.706520923256393
702,Lenovo,Notebook,8,2.2,0,0,100.45466986113652,AMD Processor,1000.0,0,AMD,Windows,10.257919184510287
568,Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Other Intel Processor,500.0,0,Intel,Windows,10.00362102219259
64,HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0.0,256,Intel,Windows,10.899343440656247
43,Acer,Notebook,4,2.2,0,1,141.21199808219862,Intel Core i5,0.0,256,Intel,Windows,10.555559126828607
1093,Dell,Ultrabook,4,1.4,0,1,165.6321180513006,Intel Core i5,0.0,256,AMD,Windows,10.939576904612009
522,Dell,Notebook,8,,0,0,7532.205589775931,Intel Core i5,0.0,256,Intel,Windows,10.862968936438469
1154,Dell,Notebook,8,2.04,1,1,282.42399616439724,Intel Core i5,0.0,256,Nvidia,Windows,10.969753068726098
473,Dell,Ultrabook,8,1.42,1,0,165.6321180513006,Intel Core i5,0.0,256,Intel,Windows,11.12008127916941
626,Mediacom,Notebook,2,1.4,0,0,157.3505121487356,Other Intel Processor,0.0,0,Intel,Windows,9.529963461653736
1040,Lenovo,2 in 1 Convertible,4,1.8,1,1,141.21199808219862,Intel Core i7,0.0,256,Intel,Windows,11.040314733202557
1035,HP,Ultrabook,8,1.26,0,0,176.23257360658386,Intel Core i7,0.0,256,Intel,Windows,11.267521930113638
193,Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,0.0,256,Nvidia,Others,10.570697657598805
228,Asus,Notebook,8,2.69,0,0,127.33567457123112,Intel Core i5,500.0,256,Nvidia,Windows,10.752060568738715
828,Acer,Netbook,4,1.35,0,1,135.0942111925629,Other Intel Processor,0.0,0,Intel,Others,9.736419472358792
329,Dell,Notebook,32,2.06,1,0,282.42399616439724,Intel Core i7,0.0,1000,Nvidia,Windows,12.134179182506285
1063,Dell,Notebook,16,2.32,0,0,141.21199808219862,Intel Core i7,2000.0,0,AMD,Windows,11.031042071798833
390,Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1000.0,0,Nvidia,Windows,11.005408208979315
338,Asus,Notebook,4,2.0,0,0,100.45466986113652,Other Intel Processor,1000.0,0,Intel,Others,9.667708900441175
